datetime,Open,High,Low,Close,Volume
2025-03-02 07:21:00+00:00,86089.0,86114.0,86089.0,86101.0,0.03670552
2025-03-02 07:22:00+00:00,86115.0,86144.0,86115.0,86144.0,0.00865572
2025-03-02 07:23:00+00:00,86146.0,86146.0,86142.0,86142.0,0.12743485
2025-03-02 07:24:00+00:00,86143.0,86143.0,86125.0,86126.0,0.32465669
2025-03-02 07:25:00+00:00,86126.0,86189.0,86126.0,86189.0,0.01339941
2025-03-02 07:26:00+00:00,86189.0,86209.0,86189.0,86209.0,0.1
2025-03-02 07:27:00+00:00,86211.0,86211.0,86191.0,86191.0,0.15775628
2025-03-02 07:28:00+00:00,86191.0,86191.0,86190.0,86191.0,0.02124
2025-03-02 07:29:00+00:00,86191.0,86211.0,86191.0,86211.0,0.01854713
2025-03-02 07:30:00+00:00,86211.0,86241.0,86191.0,86241.0,0.03283908
2025-03-02 07:31:00+00:00,86243.0,86288.0,86243.0,86288.0,0.02155351
2025-03-02 07:32:00+00:00,86283.0,86283.0,86270.0,86270.0,0.05961082
2025-03-02 07:33:00+00:00,86270.0,86277.0,86270.0,86277.0,0.10167745
2025-03-02 07:34:00+00:00,86278.0,86300.0,86278.0,86278.0,0.2676529
2025-03-02 07:35:00+00:00,86278.0,86278.0,86233.0,86251.0,0.07507809
2025-03-02 07:36:00+00:00,86251.0,86251.0,86161.0,86194.0,0.05687884
2025-03-02 07:37:00+00:00,86195.0,86226.0,86164.0,86213.0,0.05807231
2025-03-02 07:38:00+00:00,86208.0,86217.0,86206.0,86216.0,0.23328318
2025-03-02 07:39:00+00:00,86216.0,86217.0,86216.0,86216.0,0.02136366
2025-03-02 07:40:00+00:00,86217.0,86221.0,86217.0,86219.0,0.75454775
2025-03-02 07:41:00+00:00,86219.0,86249.0,86219.0,86249.0,0.01694633
2025-03-02 07:42:00+00:00,86280.0,86283.0,86280.0,86283.0,0.04546376
2025-03-02 07:43:00+00:00,86308.0,86308.0,86277.0,86277.0,0.05163053
2025-03-02 07:44:00+00:00,86272.0,86272.0,86268.0,86268.0,0.02813248
2025-03-02 07:45:00+00:00,86261.0,86261.0,86261.0,86261.0,0.00023185
2025-03-02 07:46:00+00:00,86261.0,86261.0,86261.0,86261.0,0.06119778
2025-03-02 07:47:00+00:00,86244.0,86280.0,86237.0,86280.0,0.10690564
2025-03-02 07:48:00+00:00,86297.0,86297.0,86282.0,86282.0,0.19543257
2025-03-02 07:49:00+00:00,86245.0,86245.0,86220.0,86229.0,0.0668402
2025-03-02 07:50:00+00:00,86228.0,86228.0,86197.0,86197.0,1.62494883
2025-03-02 07:51:00+00:00,86209.0,86209.0,86173.0,86173.0,0.04988366
2025-03-02 07:52:00+00:00,86160.0,86160.0,86159.0,86159.0,0.02326035
2025-03-02 07:53:00+00:00,86143.0,86224.0,86143.0,86224.0,0.17170604
2025-03-02 07:54:00+00:00,86238.0,86266.0,86238.0,86244.0,0.03594314
2025-03-02 07:55:00+00:00,86243.0,86243.0,86234.0,86238.0,0.07741452
2025-03-02 07:56:00+00:00,86239.0,86262.0,86219.0,86219.0,0.06113309
2025-03-02 07:57:00+00:00,86195.0,86218.0,86195.0,86209.0,0.13592401
2025-03-02 07:58:00+00:00,86209.0,86209.0,86209.0,86209.0,0.03415853
2025-03-02 07:59:00+00:00,86210.0,86210.0,86210.0,86210.0,0.0005714
2025-03-02 08:00:00+00:00,86210.0,86217.0,86194.0,86194.0,0.15924063
2025-03-02 08:01:00+00:00,86165.0,86165.0,86018.0,86049.0,1.17452412
2025-03-02 08:02:00+00:00,86018.0,86051.0,86012.0,86050.0,0.08530843
2025-03-02 08:03:00+00:00,86052.0,86074.0,86029.0,86032.0,0.08350521
2025-03-02 08:04:00+00:00,86034.0,86034.0,86028.0,86028.0,0.03518074
2025-03-02 08:05:00+00:00,86061.0,86061.0,86020.0,86020.0,0.0643234
2025-03-02 08:06:00+00:00,86020.0,86020.0,85992.0,85992.0,0.06046726
2025-03-02 08:07:00+00:00,85954.0,85954.0,85903.0,85951.0,0.04198634
2025-03-02 08:08:00+00:00,85973.0,85973.0,85973.0,85973.0,0.00023263
